AOBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
565,Fishtown Hockey Rink Building,Fishtown Recreation Center,Fishtown Recreation Center,1202-32 E MONTGOMERY AVE,Building,Athletic,Multi-Use Bldg,9186.435402,0.21089238,19125,Lederer Recreation Center, ,,12-Nov-13,Vanessa Miller,PPR,,Fishtown Hockey Rink 
566,Fishtown Playground Building,Fishtown Recreation Center,Fishtown Recreation Center,1202-32 E MONTGOMERY AVE,Building,Recreation Bldg,,12034.20238,0.27626838,19125,Lederer Recreation Center, ,,12-Nov-13,Vanessa Miller,PPR,,Fishtown  
567,Hancock/St John's Playground Building,Hancock Playground,Hancock Playground,147 MASTER ST,Building,Recreation Bldg,,1950.097894,0.04476827,19122, , ,,12-Nov-13,Vanessa Miller,PPR,,Hancock/St John's  
568,Cruz Playground Building,Cruz Recreation Center,Cruz Recreation Center,1400-52 N 05TH ST,Building,Recreation Bldg,,11488.96068,0.2637513,19122, , ,,12-Nov-13,Vanessa Miller,PPR,,Cruz  
569,Cobbs Creek Golf Course Snack Shed,Cobbs Creek & Karakung Golf Course,Cobbs Creek Park,7800 CITY LINE AVE,Building,Concessions\Retail\Cafe,Golf Course,422.1922548,0.00969224,19151, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",CC Golf Course
570,Sedgeley Porter's House,East Fairmount Park,East Fairmount Park,3250 W SEDGELEY DR,Building,Historic House,Historic Building,1825.150813,0.04189986,19130, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Sedgeley Porter's House
571,Conestoga Community Playground Building,Conestoga Playground,Conestoga Playground,5200-300 MEDIA ST,Building,Recreation Bldg,,1636.45185,0.03756792,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,Conestoga
572,Letitia Street House,West Fairmount Park,West Fairmount Park,3400 W GIRARD AVE,Building,Historic House,Historic Building,711.2597457,0.01632834,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,PR vacant,Letitia Street House
573,Hatfield House,East Fairmount Park,East Fairmount Park,3201 W GIRARD AVE,Building,Historic House,Historic Building,1788.990876,0.04106974,19121, , ,,19-Dec-12,Vanessa Miller,Lessee/Tenants,Father's Day Rally Committee,Hatfield House
574,Sweetbriar Mansion,West Fairmount Park,West Fairmount Park,3801 SWEETBRIAR LA,Building,Historic House,Historic Building,2270.18658,0.05211652,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Modern Club of Philadelphia,Sweetbriar Mansion
575,Marie Dendy Playground Building,Dendy Recreation Center,Dendy Recreation Center,1501-39 N 10TH ST,Building,Recreation Bldg,,2856.012025,0.06556528,19122, , ,,12-Nov-13,Vanessa Miller,PPR,,Marie Dendy  
576,Case Building,West Fairmount Park,West Fairmount Park,4400 S CONCOURSE DR,Building,Historic House,Historic Building,4133.407407,0.09489036,19131,CASE Building (Golden Age), ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,FP Staff,Case 
577,Carousel House Recreation Center Building,Carousel House,West Fairmount Park,1601 BELMONT AVE,Building,Recreation Bldg,,25726.79603,0.59060833,19131, , ,,12-Nov-13,Vanessa Miller,PPR,,
578,Cedar Grove,West Fairmount Park,West Fairmount Park,4001 LANSDOWNE DR,Building,Historic House,Historic Building,2551.12941,0.05856611,19131, , ,,12-Nov-13,Vanessa Miller,Lessee/Tenants,Philadelphia Museum of Art,Cedar Grove
